time,value
1483142400,1.385680000e+03
1483146000,2.988592222e+03
1483149600,2.676027222e+03
1483153200,7.935802778e+02
1483156800,4.561412778e+03
1483160400,4.719363889e+03
1483164000,1.036063333e+03
1483167600,8.415036111e+02
1483171200,1.016151667e+03
1483174800,1.243296389e+03
1483178400,1.420923056e+03
1483182000,1.445285556e+03
1483185600,1.571590556e+03
1483189200,1.914797500e+03
1483192800,1.860828333e+03
1483196400,1.999273611e+03
1483200000,2.097290833e+03
1483203600,2.765806667e+03
1483207200,2.422848611e+03
1483210800,2.345551111e+03
1483214400,2.257830000e+03
1483218000,2.241940278e+03
1483221600,2.124599722e+03
1483225200,2.570040000e+03
1483228800,2.329808056e+03
1483232400,3.299901944e+03
1483236000,3.044760833e+03
1483239600,9.865997222e+02
1483243200,4.788454722e+03
1483246800,5.146192778e+03
1483250400,9.904233333e+02
1483254000,5.712397222e+02
1483257600,1.094584722e+03
1483261200,1.312864167e+03
1483264800,1.498190000e+03
1483268400,1.776410833e+03
1483272000,1.854467222e+03
1483275600,2.279257778e+03
1483279200,2.209472500e+03
1483282800,2.210459167e+03
1483286400,2.168330833e+03
1483290000,2.480050556e+03
1483293600,2.637001389e+03
1483297200,2.774685278e+03
1483300800,3.207211111e+03
1483304400,2.276098333e+03
1483308000,2.587995278e+03
1483311600,2.149136389e+03
1483315200,1.499855278e+03
1483318800,2.845518611e+03
1483322400,2.673167500e+03
1483326000,9.001966667e+02
1483329600,4.585132500e+03
1483333200,5.198089722e+03
1483336800,9.338294444e+02
1483340400,7.217347222e+02
1483344000,1.146981944e+03
1483347600,1.420267222e+03
1483351200,1.549526667e+03
1483354800,1.566383889e+03
1483358400,1.683978611e+03
1483362000,2.006448611e+03
1483365600,1.886155000e+03
1483369200,2.013350556e+03
1483372800,2.166297500e+03
1483376400,2.790122222e+03
1483380000,2.683948056e+03
1483383600,3.236662222e+03
1483387200,3.153391111e+03
1483390800,2.815972500e+03
1483394400,3.039675278e+03
1483398000,1.788972500e+03
1483401600,1.297931667e+03
1483405200,3.062680000e+03
1483408800,2.854286667e+03
1483412400,7.645708333e+02
1483416000,4.411183333e+03
1483419600,5.431421944e+03
1483423200,1.121492222e+03
1483426800,8.793752778e+02
1483430400,1.067628611e+03
1483434000,1.272975000e+03
1483437600,1.259840833e+03
1483441200,1.341658611e+03
1483444800,1.462305000e+03
1483448400,1.627710000e+03
1483452000,1.639575833e+03
1483455600,1.793051389e+03
1483459200,1.912046389e+03
1483462800,2.253064722e+03
1483466400,2.744786389e+03
1483470000,2.896137500e+03
1483473600,2.971428889e+03
1483477200,2.800473333e+03
1483480800,3.042309722e+03
1483484400,1.922970278e+03
1483488000,1.193203611e+03
1483491600,3.020636667e+03
1483495200,2.906723056e+03
1483498800,7.745236111e+02
1483502400,4.576078889e+03
1483506000,4.696673611e+03
1483509600,1.120396111e+03
1483513200,8.468911111e+02
1483516800,1.052316389e+03
1483520400,1.213056111e+03
1483524000,1.188173056e+03
1483527600,1.211465278e+03
1483531200,1.311624722e+03
1483534800,1.530224444e+03
1483538400,1.542833056e+03
1483542000,1.581316944e+03
1483545600,1.770450833e+03
1483549200,2.024371944e+03
1483552800,2.632612583e+03
1483556400,2.869722778e+03
1483560000,3.468154444e+03
1483563600,2.557006389e+03
1483567200,2.946560278e+03
1483570800,1.872910833e+03
1483574400,1.146723056e+03
1483578000,3.125607778e+03
1483581600,2.732963056e+03
1483585200,8.358272222e+02
1483588800,4.771222778e+03
1483592400,5.176624722e+03
1483596000,1.143242222e+03
1483599600,8.484338889e+02
1483603200,1.074480833e+03
1483606800,1.207901944e+03
1483610400,1.155327500e+03
1483614000,1.181483611e+03
1483617600,1.273711389e+03
1483621200,1.481046667e+03
1483624800,1.408518333e+03
1483628400,1.678392222e+03
1483632000,1.767206667e+03
1483635600,2.303773611e+03
1483639200,2.649536944e+03
1483642800,2.792690000e+03
1483646400,2.741581111e+03
1483650000,2.826809722e+03
1483653600,2.677136111e+03
1483657200,1.751315556e+03
1483660800,1.271605278e+03
1483664400,3.144202500e+03
1483668000,2.813529444e+03
1483671600,6.693983333e+02
1483675200,4.450425833e+03
1483678800,5.356513611e+03
1483682400,1.144151944e+03
1483686000,8.172483333e+02
1483689600,1.049026389e+03
1483693200,1.279646111e+03
1483696800,1.172591111e+03
1483700400,1.181590556e+03
1483704000,1.334088056e+03
1483707600,1.569469167e+03
1483711200,1.652396944e+03
1483714800,1.613525556e+03
1483718400,1.871597778e+03
1483722000,2.052977500e+03
1483725600,2.638456389e+03
1483729200,3.106290278e+03
1483732800,3.178093611e+03
1483736400,3.062320278e+03
1483740000,3.150205278e+03
1483743600,2.133992778e+03
1483747200,1.541997222e+03
1483750800,3.086138889e+03
1483754400,2.921013611e+03
1483758000,8.141636111e+02
1483761600,4.851585556e+03
1483765200,5.136638889e+03
1483768800,9.339330556e+02
1483772400,6.897116667e+02
1483776000,9.900000000e+02
1483779600,1.250661667e+03
1483783200,1.440255000e+03
1483786800,1.471937778e+03
1483790400,1.772847222e+03
1483794000,1.959831111e+03
1483797600,1.825150833e+03
1483801200,1.965163611e+03
1483804800,2.161876944e+03
1483808400,2.875534167e+03
1483812000,2.501062222e+03
1483815600,2.694428056e+03
1483819200,2.648553056e+03
1483822800,2.760380833e+03
1483826400,2.781043889e+03
1483830000,1.985016667e+03
1483833600,1.569744167e+03
1483837200,3.184669444e+03
1483840800,2.776413611e+03
1483844400,7.512305556e+02
1483848000,4.729497222e+03
1483851600,5.235204167e+03
1483855200,8.957244444e+02
1483858800,6.735355556e+02
1483862400,9.973608333e+02
1483866000,1.390355833e+03
1483869600,1.436971389e+03
1483873200,1.487817222e+03
1483876800,1.690532500e+03
1483880400,2.052083333e+03
1483884000,1.916124444e+03
1483887600,2.150119444e+03
1483891200,2.196578611e+03
1483894800,2.471503056e+03
1483898400,2.888188889e+03
1483902000,2.609835556e+03
1483905600,2.879351111e+03
1483909200,2.510124444e+03
1483912800,2.650186944e+03
1483916400,1.899091667e+03
1483920000,1.296367500e+03
1483923600,3.198303333e+03
1483927200,2.726163611e+03
1483930800,7.550041667e+02
1483934400,4.842199444e+03
